timestamp,turbine_id,wind_speed_mps,ambient_temp_c,humidity_pct,rotor_rpm,generator_rpm,power_kw,pitch_angle_deg,yaw_error_deg,gearbox_temp_c,generator_temp_c,nacelle_temp_c,oil_temp_c,oil_pressure_bar,hydraulic_pressure_bar,vibration_mm_s,operating_state
2025-01-01T00:00,T-01,3.72,21.4,66.12,8.73,866.07,1.52,2.06,1.57,53.63,52.7,28.4,42.84,3.25,192.44,0.383,healthy
2025-01-01T00:10,T-02,10.49,16.5,68.89,17.18,1575.07,1685.1,0.58,1.01,56.57,55.81,25.92,51.06,3.6,182.03,0.433,healthy
2025-01-01T00:20,T-03,2.28,18.28,77.64,8.88,794.52,0.0,2.58,2.46,50.27,40.32,22.21,39.09,3.15,183.14,0.553,healthy
2025-01-01T00:30,T-04,17.87,14.41,70.92,22.0,1962.27,2963.08,17.37,0.82,70.94,73.15,26.38,63.12,3.98,200.01,0.844,healthy
2025-01-01T00:40,T-05,13.03,21.31,72.8,19.32,1778.45,2889.89,5.7,1.91,79.74,78.2,34.27,69.97,4.16,185.37,0.813,healthy
2025-01-01T00:50,T-06,2.49,13.08,68.0,7.89,732.25,0.0,0.04,6.16,39.63,37.42,16.7,34.79,3.17,171.13,0.151,healthy
2025-01-01T01:00,T-07,2.55,16.45,70.17,8.48,849.12,0.0,1.53,1.92,47.33,47.42,19.56,39.9,3.13,176.86,0.607,healthy
2025-01-01T01:10,T-08,9.94,11.65,75.17,15.92,1464.23,1369.68,1.93,2.42,49.86,53.2,21.05,43.27,3.68,187.08,0.821,healthy
2025-01-01T01:20,T-09,1.96,16.6,79.75,6.37,613.12,0.0,2.66,0.76,46.79,37.97,20.41,39.34,3.35,183.21,0.426,healthy
2025-01-01T01:30,T-01,19.57,15.03,70.61,22.0,2022.04,2894.88,21.79,3.71,69.89,74.28,30.99,62.97,3.69,207.32,0.698,healthy
2025-01-01T01:40,T-01,4.21,13.51,75.04,9.49,928.55,7.18,3.38,0.26,42.75,31.39,19.32,35.98,3.25,179.02,0.437,healthy
2025-01-01T01:50,T-02,9.59,12.8,54.75,16.15,1506.68,1204.05,1.15,5.13,53.76,47.09,22.67,45.46,3.4,186.09,0.593,healthy
2025-01-01T02:00,T-03,7.49,15.46,100.0,14.19,1353.17,382.19,0.19,5.23,48.67,47.29,22.09,41.13,3.39,185.73,0.451,healthy
2025-01-01T02:10,T-04,4.6,17.82,67.2,8.77,848.06,16.87,3.02,2.03,44.28,39.36,22.86,46.26,3.07,180.65,0.489,healthy
2025-01-01T02:20,T-05,7.06,15.98,79.61,12.58,1171.37,275.52,1.92,3.05,45.55,40.9,24.13,44.1,3.42,182.88,0.695,healthy
2025-01-01T02:30,T-06,6.24,13.72,70.46,12.49,1139.23,144.07,1.88,0.8,45.75,38.41,12.84,38.96,3.23,180.3,0.39,healthy
2025-01-01T02:40,T-07,2.3,20.07,77.07,8.45,843.06,0.0,1.33,3.35,51.19,49.62,24.86,41.09,3.04,190.57,0.382,healthy
2025-01-01T02:50,T-08,11.19,15.66,87.56,17.6,1612.46,2317.67,2.28,2.67,64.01,61.68,26.51,54.1,3.66,191.35,0.531,healthy
2025-01-01T03:00,T-09,11.79,20.79,82.25,18.28,1681.38,2854.96,2.07,2.44,74.5,83.13,33.29,63.57,3.67,185.26,0.463,healthy
2025-01-01T03:10,T-01,13.23,11.29,68.94,19.05,1742.38,3065.67,5.67,3.21,64.11,75.09,26.79,54.18,3.77,192.34,0.83,healthy
2025-01-01T03:20,T-01,6.29,20.47,69.38,11.83,1151.23,149.5,1.32,5.35,50.33,45.64,24.49,43.5,3.12,191.64,0.501,healthy
2025-01-01T03:30,T-02,11.23,16.53,88.28,18.39,1736.87,2339.48,2.36,1.11,62.88,65.15,28.2,61.82,3.62,184.6,0.676,healthy
2025-01-01T03:40,T-03,16.06,19.8,69.54,22.0,1944.32,2971.26,13.89,2.05,81.76,84.96,33.66,69.58,4.03,199.17,0.645,healthy
2025-01-01T03:50,T-04,10.02,15.43,82.54,15.33,1408.13,1373.89,1.46,1.46,56.55,59.93,23.41,47.89,3.42,172.34,0.599,healthy
2025-01-01T04:00,T-05,9.22,14.46,66.77,15.71,1477.51,995.92,0.96,1.62,49.14,51.93,24.15,44.33,3.44,168.84,0.684,healthy
2025-01-01T04:10,T-06,13.42,15.12,64.79,19.57,1799.86,2915.64,5.48,3.96,69.01,70.43,30.73,62.71,3.78,194.3,0.508,healthy
2025-01-01T04:20,T-07,2.83,13.83,56.45,8.38,737.93,0.0,3.27,2.12,42.15,40.13,19.37,37.68,3.21,173.04,0.292,healthy
2025-01-01T04:30,T-08,6.62,15.71,64.09,12.18,1081.61,187.4,2.04,4.73,45.7,42.19,23.33,38.16,3.17,184.55,0.739,healthy
2025-01-01T04:40,T-09,4.95,16.15,73.42,10.07,943.02,30.62,0.87,4.51,50.45,38.23,21.13,35.38,3.08,169.92,0.497,healthy
2025-01-01T04:50,T-01,13.39,17.02,56.71,19.53,1823.41,2909.06,4.74,0.23,72.46,75.81,29.07,65.01,3.73,191.3,0.494,healthy
2025-01-01T05:00,T-01,4.82,20.78,61.29,9.54,910.17,25.26,2.32,0.3,49.86,48.6,22.51,45.73,3.12,179.28,0.474,healthy
2025-01-01T05:10,T-02,6.4,20.16,65.69,12.25,1058.52,163.11,2.8,1.56,45.9,44.08,27.19,42.44,3.25,190.22,0.533,healthy
2025-01-01T05:20,T-03,6.67,17.71,69.75,13.18,1246.76,201.11,2.8,3.88,46.97,43.76,23.39,40.57,3.19,182.05,0.56,healthy
2025-01-01T05:30,T-04,4.7,14.67,77.32,9.58,921.8,20.3,2.3,0.91,43.15,24.28,20.24,34.2,3.1,190.26,0.525,healthy
2025-01-01T05:40,T-05,15.46,12.64,63.62,21.86,2021.97,2904.05,11.33,0.98,69.57,76.95,23.77,59.8,3.68,188.07,0.563,healthy
2025-01-01T05:50,T-06,11.85,18.69,61.31,18.54,1710.28,2855.71,1.11,1.97,76.17,80.7,31.79,66.2,3.68,179.56,0.482,healthy
2025-01-01T06:00,T-07,3.67,11.03,77.12,9.22,827.45,1.23,2.69,0.63,35.88,40.77,15.41,33.56,3.15,192.04,0.59,healthy
2025-01-01T06:10,T-08,10.17,12.43,66.46,16.73,1532.74,1484.62,2.36,0.01,54.94,53.83,24.66,45.13,3.61,174.22,0.475,healthy
2025-01-01T06:20,T-09,7.45,20.64,53.15,12.88,1252.44,371.58,2.28,2.62,52.83,45.82,26.86,48.5,3.14,183.05,0.629,healthy
2025-01-01T06:30,T-01,3.22,16.53,48.89,8.93,768.31,0.04,1.43,0.44,43.25,41.48,19.35,42.31,3.15,189.44,0.492,healthy
2025-01-01T06:40,T-01,10.78,17.89,51.54,17.78,1631.85,1961.15,2.6,2.95,66.71,67.49,30.09,56.18,3.48,185.09,0.668,healthy
2025-01-01T06:50,T-02,17.45,14.66,56.46,22.0,2037.58,2983.08,16.24,3.22,70.99,72.22,30.2,68.34,3.57,199.68,0.882,healthy
2025-01-01T07:00,T-03,13.12,21.84,47.78,18.92,1720.25,2911.33,5.1,6.16,72.31,81.74,34.4,68.04,3.78,185.78,0.747,healthy
2025-01-01T07:10,T-04,8.58,13.85,83.21,15.39,1456.08,718.42,0.89,0.13,52.15,42.61,19.91,42.65,3.56,167.22,0.597,healthy
2025-01-01T07:20,T-05,10.78,21.44,61.17,16.66,1545.32,1954.03,3.14,2.71,67.7,68.14,32.87,56.38,3.6,183.28,0.676,healthy
2025-01-01T07:30,T-06,10.28,12.58,58.54,17.39,1571.59,1559.84,1.17,0.23,54.13,50.26,22.8,46.83,3.68,175.52,0.721,healthy
2025-01-01T07:40,T-07,10.94,18.1,47.18,16.74,1578.07,2011.21,2.86,0.76,61.8,66.09,29.24,57.87,3.59,179.19,0.344,healthy
2025-01-01T07:50,T-08,3.44,23.18,49.17,7.58,658.66,0.36,3.19,2.09,52.04,47.34,29.18,42.37,3.05,173.59,0.478,healthy
2025-01-01T08:00,T-09,7.9,21.13,59.54,14.15,1275.55,475.94,3.03,3.11,52.8,48.08,26.81,51.49,3.21,177.96,0.479,healthy
2025-01-01T08:10,T-01,6.2,20.48,50.18,9.93,904.14,137.82,1.45,0.22,50.74,42.25,26.49,46.81,3.08,174.85,0.465,healthy
2025-01-01T08:20,T-01,7.37,21.16,49.79,12.9,1234.21,332.62,1.82,2.17,48.75,47.77,26.03,52.51,3.47,188.24,0.623,healthy
2025-01-01T08:30,T-02,12.38,12.21,50.78,17.94,1648.89,3045.9,4.12,2.24,72.01,65.33,26.16,62.98,3.5,185.13,0.649,healthy
2025-01-01T08:40,T-03,7.15,15.36,59.85,12.67,1177.92,293.06,1.41,1.38,49.58,42.76,23.03,41.65,3.37,177.7,0.701,healthy
2025-01-01T08:50,T-04,7.56,16.4,54.69,13.15,1166.22,388.7,2.14,5.19,49.39,43.19,24.62,37.27,3.14,188.81,0.747,healthy
2025-01-01T09:00,T-05,2.49,9.19,36.89,8.1,793.54,0.0,0.81,0.05,32.56,34.68,15.86,28.11,3.29,184.95,0.518,healthy
2025-01-01T09:10,T-06,6.38,15.68,36.18,13.02,1142.55,163.66,2.5,0.74,49.53,41.96,18.35,33.94,3.27,184.0,0.457,healthy
